field,main_area,operator,tier,provenance,api_gravity,sulfur_pct,vacuum_resid_pct,ccr_pct,vanadium_ppm,nickel_ppm,middle_distillate_pct
TAMBAR,North sea,Aker BP ASA,2_BLEND,blend:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
TORDIS,North sea,Equinor Energy AS,2_BLEND,blend:Statfjord,39.2677387701335,0.249441048544377,9.47536168226264,1.33838521711888,1.6278343315846,0.98808960819825,40.498496911447944
ULA,North sea,Aker BP ASA,2_BLEND,blend:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
URD,Norwegian sea,Equinor Energy AS,2_BLEND,blend:Norne,33.9955719154872,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
VALHALL,North sea,Aker BP ASA,2_BLEND,blend:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
VIGDIS,North sea,Equinor Energy AS,2_BLEND,blend:Statfjord,39.2677387701335,0.249441048544377,9.47536168226264,1.33838521711888,1.6278343315846,0.98808960819825,40.498496911447944
VILJE,North sea,Aker BP ASA,2_BLEND,blend:Alvheim,34.5440158378669,0.40211278459505,8.72113464992648,1.122477243191,2.76486143587745,0.804090641358182,44.78554795670213
VISUND,North sea,Equinor Energy AS,2_BLEND,blend:Gullfaks,39.2636091110806,0.211019881476799,9.12833245275655,1.29277263814823,1.36373739122237,1.00202473443379,40.578826121203626
VOLUND,North sea,Aker BP ASA,2_BLEND,blend:Alvheim,34.5440158378669,0.40211278459505,8.72113464992648,1.122477243191,2.76486143587745,0.804090641358182,44.78554795670213
ALBUSKJELL,North sea,ConocoPhillips Skandinavia AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",44.75959850374065,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
ALVE,Norwegian sea,Equinor Energy AS,3_MEDIAN+DST,"median:Norwegian sea(9 grades,område)+API:Sodir-DST",45.20024749999999,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
ASGARD,Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",47.5,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
BESTLA,North sea,OKEA ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",35.98838625592418,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
BLANE,North sea,Repsol Norge AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",43.01876296296297,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
BRAGE,North sea,OKEA ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",35.889280701926594,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
BREIDABLIKK,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",22.0,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
BRYNHILD,North sea,,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",29.686086659065012,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
COD,North sea,,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",40.890485365853664,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
FENJA,Norwegian sea,Vår Energi ASA,3_MEDIAN+DST,"median:Norwegian sea(9 grades,område)+API:Sodir-DST",35.790175147929006,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
FENRIS (BONUS),Unknown,,3_MEDIAN+DST,"median:Unknown(50 grades,NCS)+API:Sodir-DST",45.0,0.211019881476799,9.47536168226264,1.315578927633555,1.6278343315846,1.03700875608498,40.498496911447944
FLYNDRE,North sea,,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",40.890485365853664,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
FRØY,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",38.0,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
FULLA,North sea,Aker BP ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",43.01876296296297,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
GAUPE,North sea,,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",32.87232325581397,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
GJØA,North sea,Vår Energi ASA,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",59.423465566110025,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
GLITNE,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",32.1113402777778,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
GULLFAKS SØR,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",38.241458994983574,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
GUNGNE,North sea,Equinor Energy AS,3_MEDIAN+DST,"median:North sea(40 grades,område)+API:Sodir-DST",52.44370402986844,0.249441048544377,9.47536168226264,1.33838521711888,1.74860502049344,1.00202473443379,39.56219896972246
