field,n_dst_samples,api_mean,api_median,api_std,api_min,api_max,gor_mean,gor_count,temp_mean,temp_count,depth_mean
YME,4,38.663730300044215,38.507788177660544,0.9531105054319019,37.79365029940121,39.84569454545456,25.666666666666668,3,,0,3187.75
UTGARD,4,44.94944348491365,44.11248630763792,8.447138848261988,35.592432624113485,55.980368700265274,1519.0,4,,0,3805.25
STATFJORD ØST,4,36.190982213246464,35.790175147929006,0.9380854012335111,35.592432624113485,37.59114593301436,145.0,3,90.5,2,2490.0
VARG,4,32.74394873213885,34.61092032311517,4.84467596213008,25.566886666666676,36.18706761565838,76.25,4,125.0,2,3027.0
HOD,4,34.25923872099322,34.543437340672085,4.3666167923450425,29.136588636363626,38.81349156626507,150.0,2,,0,3181.5
SIGYN,4,58.89053694594595,59.52729459459459,1.2735152972972934,56.980264000000005,59.52729459459459,1194.0,4,100.0,2,2679.75
FLYNDRE,3,38.29741151190439,40.890485365853664,6.423239411659324,30.982986206896555,43.01876296296297,408.5,2,,0,3107.3333333333335
MARTIN LINGE,3,43.74303385523783,43.45074009900989,0.9064788055746585,43.01876296296297,44.75959850374065,951.0,3,143.0,1,4026.3333333333335
GAUPE,3,39.43580144137598,32.87232325581397,11.368277691763387,32.87232325581397,52.562757812499996,829.6666666666666,3,,0,3002.6666666666665
VEST EKOFISK,3,42.6703433143742,42.588913793103444,1.611627329081533,41.10097435897438,44.32114179104477,451.6666666666667,3,129.5,2,3197.0
JOTUN,3,35.53291992988854,34.80611529411766,1.2588625563317575,34.80611529411766,36.9865292014303,49.333333333333336,3,82.5,2,2157.3333333333335
NORNE,3,33.84098526836096,33.255475524475514,1.3595178563058123,32.87232325581397,35.395157024793406,86.0,3,96.66666666666667,3,2624.0
VOLVE,3,27.725722520909216,26.975558295964134,2.954493255365264,25.218623059866957,30.982986206896555,86.66666666666667,3,111.5,2,3487.0
MIKKEL,3,52.35348755764873,56.478986702127656,9.663484793630126,41.31197799511003,59.269497975708504,2388.0,3,,0,2531.6666666666665
SKIRNE,2,49.850254013157894,49.850254013157894,6.5761022760311345,45.20024749999999,54.5002605263158,4249.0,2,104.0,1,2669.0
GUNGNE,2,52.44370402986844,52.44370402986844,0.5077469374473319,52.08467272727273,52.80273533246415,2529.0,2,,0,2855.0
TRYM,2,45.20466511662791,45.20466511662791,1.249490669712658,44.32114179104477,46.08818844221105,1351.0,2,131.0,2,3456.5
GINA KROG,2,44.10950523148148,44.10950523148148,1.5425425091924747,43.01876296296297,45.20024749999999,1590.5,2,,0,3585.5
KNARR,2,47.92000892977944,47.92000892977944,3.2200280455532444,45.64310526315788,50.196912596401006,48.5,2,135.5,2,3889.0
ALVHEIM,2,31.92765473135526,31.92765473135526,1.3359630392364816,30.982986206896555,32.87232325581397,84.0,2,68.0,2,2104.5
MARULK,2,48.583991285296975,48.583991285296975,1.622147916190728,47.436959493670884,49.731023076923066,3699.0,2,,0,3052.5
TUNE,2,33.97504010131435,33.97504010131435,6.842603682617281,29.136588636363626,38.81349156626507,1305.0,2,128.5,2,3588.5
VALE,1,43.01876296296297,43.01876296296297,,43.01876296296297,43.01876296296297,671.0,1,126.0,1,3802.0
MARIA,1,47.66374904942967,47.66374904942967,,47.66374904942967,47.66374904942967,183.0,1,135.0,1,3809.0
COD,1,40.890485365853664,40.890485365853664,,40.890485365853664,40.890485365853664,,0,,0,4550.0
BRYNHILD,1,29.686086659065012,29.686086659065012,,29.686086659065012,29.686086659065012,20.0,1,80.0,1,3333.0
BESTLA,1,35.98838625592418,35.98838625592418,,35.98838625592418,35.98838625592418,158.0,1,,0,2187.0
BLANE,1,43.01876296296297,43.01876296296297,,43.01876296296297,43.01876296296297,66.0,1,,0,3122.0
TAMBAR,1,39.018936067551294,39.018936067551294,,39.018936067551294,39.018936067551294,196.0,1,165.0,1,4211.0
DUVA,1,44.9796479400749,44.9796479400749,,44.9796479400749,44.9796479400749,15592.0,1,,0,2428.0
TRESTAKK,1,39.84569454545456,39.84569454545456,,39.84569454545456,39.84569454545456,200.0,1,145.0,1,3937.0
FENJA,1,35.790175147929006,35.790175147929006,,35.790175147929006,35.790175147929006,160.0,1,,0,3637.0
FULLA,1,43.01876296296297,43.01876296296297,,43.01876296296297,43.01876296296297,1960.0,1,120.0,1,3805.0
SYMRA,1,34.027163934426255,34.027163934426255,,34.027163934426255,34.027163934426255,103.0,1,83.0,1,2058.0
GLITNE,1,32.1113402777778,32.1113402777778,,32.1113402777778,32.1113402777778,63.0,1,79.0,1,2154.0
GOLIAT,1,32.87232325581397,32.87232325581397,,32.87232325581397,32.87232325581397,59.0,1,36.0,1,1078.0
GRANE,1,18.883189361702136,18.883189361702136,,18.883189361702136,18.883189361702136,14.0,1,76.0,1,1736.0
HANZ,1,36.785950000000014,36.785950000000014,,36.785950000000014,36.785950000000014,116.0,1,94.0,1,2392.0
JOHAN SVERDRUP,1,28.590824462061164,28.590824462061164,,28.590824462061164,28.590824462061164,20.0,1,83.0,1,1923.0
ORMEN LANGE,1,52.08467272727273,52.08467272727273,,52.08467272727273,52.08467272727273,11000.0,1,90.0,1,2915.0
KVITEBJØRN,1,46.53551385390429,46.53551385390429,,46.53551385390429,46.53551385390429,1728.0,1,69.0,1,4117.0
ALVE,1,45.20024749999999,45.20024749999999,,45.20024749999999,45.20024749999999,3121.0,1,136.0,1,3611.0
MIME,1,39.224876811594214,39.224876811594214,,39.224876811594214,39.224876811594214,251.0,1,,0,4185.0
