field,operator,main_area,facility_type,archetype,status,discovery_year,first_year,last_year,api_gravity,recoverable_oil_msm3,water_depth,n_wells_total,peak_oil_msm3,total_oil_msm3,peak_date,ramp_length_months,ramp_k,ramp_t0,ramp_r2,plateau_length_months,plateau_avg_pct,plateau_std,plateau_cv,has_plateau,decline_length_months,D_12,D_decline_fit,D_annual,is_shut_in,is_producing
SOLVEIG,Aker BP ASA,North sea,Subsea tieback,Standard development,Producing,2013,2021,2026,27.1149865857435,6.98,100.0,12.0,0.1157,3.8918899999999996,2026-02-01,49,0.19817919129580935,11.135591398654972,0.9649406510154181,4,0.9311797752808989,0.07221506705888701,0.07755222887771879,True,0,,,,False,True
STATFJORD,Equinor Energy AS,North sea,Subsea tieback,Slow ramp mega,Producing,1974,1979,2026,39.2677387701335,565.82,145.0,431.0,3.45353,579.2871,1986-11-01,80,0.05090550892097377,48.038425727994756,0.9739956794427564,47,0.8431012092406714,0.07891301811410041,0.09359851136398255,True,425,-0.29552210259288614,0.13268892925684145,0.1329891977418907,False,True
STATFJORD NORD,Equinor Energy AS,North sea,Subsea tieback,Standard development,Producing,1977,1995,2026,39.2677387701335,39.27,268.5,20.0,0.40371,42.07988999999999,1997-07-01,27,0.2852718165785942,0.7801465258844875,0.884843678682152,7,0.8948078005074364,0.08757043909607368,0.09786508236340069,True,327,0.7708446574427463,0.09263449451131762,0.0881495688256354,False,True
STATFJORD ØST,Equinor Energy AS,North sea,Other,Standard development,Producing,1976,1994,2026,39.2677387701335,35.72,156.0,24.0,0.41302,39.0607,1998-05-01,32,0.05262465681422716,2.8938834144423395e-22,0.6882500926234212,21,0.8539157564144249,0.16869520016286152,0.19755485116144159,True,318,-0.13820835319292785,0.11541129677998158,0.1137940192582094,False,True
SVALIN,Equinor Energy AS,North sea,Other,Standard development,Producing,1992,2014,2026,,12.08,125.0,14.0,0.18876,9.26938,2015-07-01,7,0.20576681994327028,9.06088876628819,0.9887045684105534,14,0.8671025943753216,0.07201770444187097,0.08305557486395714,True,120,0.4347418377603296,0.13706470219580724,,False,True
SYGNA,Equinor Energy AS,North sea,Other,Standard development,Producing,1996,2000,2026,39.2677387701335,10.94,299.0,6.0,0.22606,11.368979999999999,2001-06-01,6,0.1676266847152434,7.523304347229341,0.9937907390864773,14,0.910614754616347,0.06692423554677233,0.07349346714129218,True,246,0.5410550008342792,0.13597622711770607,0.1099382035350818,False,True
TAMBAR,Aker BP ASA,North sea,Fixed,Standard development,Producing,1983,2001,2026,38.8888505112461,6.66,70.0,7.0,0.16185,12.20583,2002-07-01,6,0.3381552640598063,3.2934715962877337,0.9973405962046271,17,0.8680586599792837,0.07188485555202329,0.0828110574390662,True,262,0.14594720175595,0.09647531706259282,0.0957715379855949,False,True
TOR,ConocoPhillips Skandinavia AS,North sea,Fixed,Standard development,Producing,1970,1978,2026,,26.67,69.0,34.0,0.44305,27.375230000000002,1979-05-01,8,0.21948735175086592,6.262809883411248,0.9949475088153699,14,0.8421638963677109,0.12434368264720305,0.14764784287655017,True,486,0.6188947320963766,0.031538648441222006,,False,True
TORDIS,Equinor Energy AS,North sea,Subsea tieback,Slow ramp mega,Producing,1987,1994,2026,39.2677387701335,58.15,200.0,36.0,0.46331,67.55882,2001-12-01,84,0.010000000000000002,2.373892209532152e-10,0.04267593341526532,11,0.8717862181417899,0.1599404676533179,0.18346294576006328,True,274,-0.0751326290981553,0.06662448817889749,0.0637109187751146,False,True
TRESTAKK,Equinor Energy AS,Norwegian sea,Other,Quick-peak small,Producing,1986,2019,2026,,10.75,298.5,10.0,0.12584,5.649640000000001,2019-11-01,3,,,,4,0.8228504450095357,0.11511771207107388,0.13990113606821933,True,71,-0.301243790682176,0.08049770269898392,,False,True
ULA,Aker BP ASA,North sea,Fixed,Standard development,Producing,1976,1986,2026,38.8888505112461,78.24,71.0,49.0,0.70619,77.31277,1992-02-01,60,0.010703719290510921,106.56224284678505,0.7852828517094139,28,0.8693896624340273,0.07243839434021608,0.08332097501298849,True,377,0.3846359037483115,0.08203630871443712,0.0831187746803669,False,True
URD,Equinor Energy AS,Norwegian sea,Subsea tieback,Subsea satellite,Producing,2000,2005,2026,33.9955719154872,10.42,390.0,21.0,0.2115,8.17233,2006-08-01,4,,,,8,0.8520744680851065,0.11787254210454945,0.13833596301676318,True,220,0.8339869218226501,0.08040301593289202,0.0746106274223804,False,True
VALE,Aker BP ASA,North sea,Other,Slow ramp mega,Shut down,1991,2002,2026,,1.81,114.0,2.0,0.04107,2.8455,2014-12-01,149,0.010000000000000002,3.542659767052736e-17,-0.07339337070997032,9,0.5676757838920001,0.08260393725710426,0.1455125259893411,True,72,0.5296672525943769,0.06848219777542333,,True,False
VALHALL,Aker BP ASA,North sea,Fixed,Slow ramp mega,Producing,1975,1982,2026,38.8888505112461,171.47,74.0,221.0,0.48362,133.13288,1998-05-01,175,0.06511601983239121,16.674430267184427,0.7392052108321454,33,0.8770378195753491,0.1114209965217879,0.12704240801809044,True,301,-0.08868430569438815,0.038399820518318535,0.0382212921985169,False,True
VARG,Repsol Norge AS,North sea,FPSO,Fast FPSO,Shut down,1984,1998,2016,,12.14,84.0,35.0,0.21098,16.33265,2000-01-01,5,,,,10,0.7384586216703004,0.15395308145399444,0.208478954590268,True,195,0.2631305660799783,0.07818691310104983,,True,False
VESLEFRIKK,Equinor Energy AS,North sea,Fixed,Standard development,Shut down,1981,1989,2025,,56.06,175.0,68.0,0.42732,55.347409999999996,1995-03-01,46,0.4596793891218357,2.6632792697305203,0.8889005090575158,31,0.8595816989911618,0.11127282235439157,0.12944996675125311,True,302,0.14936232287178194,0.12093159356355969,,True,False
VIGDIS,Equinor Energy AS,North sea,Subsea tieback,Standard development,Producing,1986,1997,2026,39.2677387701335,47.91,281.5,55.0,0.5139,69.56298000000001,1998-11-01,19,0.41167706736040893,7.1924982028229545,0.8866607015983793,12,0.897901666990984,0.06411553986143644,0.07140597040686888,True,311,-0.011081226668262101,0.06497330850084398,0.063928200486713,False,True
VILJE,Aker BP ASA,North sea,Other,Standard development,Producing,2003,2008,2026,34.5440158378669,8.3,122.0,8.0,0.17141,13.902859999999999,2011-10-01,32,0.48865408240766917,0.980971915381312,0.8648579257126097,20,0.8725541100285865,0.10434046008844919,0.11958050382116794,True,157,0.3776757620993597,0.2278097397393377,0.2219907979674321,False,True
VOLUND,Aker BP ASA,North sea,Other,Standard development,Producing,1994,2008,2026,34.5440158378669,7.21,123.5,21.0,0.17897,12.039689999999998,2012-06-01,13,0.4140705855183518,3.2347463210280427,0.9932680556888653,29,0.9042644403897397,0.10249584815008503,0.11334720638346579,True,143,0.6539895204566475,0.2619716380728365,0.2433928137916878,False,True
VOLVE,Aker BP ASA,North sea,Other,Standard development,Shut down,1993,2008,2017,,11.9,90.0,22.0,0.27664,10.171990000000001,2009-03-01,8,0.18718115038215868,10.385743375078807,0.9980768085888174,16,0.8388993818681318,0.10069990511245588,0.12003812052907806,True,80,0.7769418693922925,0.14519540367001568,,True,False
YME,Repsol Norge AS,North sea,Other,Standard development,Producing,1987,1996,2026,,7.9,90.0,40.0,0.32865,11.57761,1998-03-01,17,0.7823062725179707,0.7233127639476205,0.9197183772616582,11,0.5224319876077064,0.1989620079038334,0.38083810452516503,True,76,0.10516613090761294,0.11173789522699215,,False,True
