field,grade,api_gravity,sulfur_pct,viscosity_cp,mobility_ratio,density_sg,D_annual,oil_mean,main_area,wc_k,wc_t50,wc_r2,wc_final
GULLFAKS,Gullfaks,39.2636091110806,0.211019881476799,1.3872944589154632,3.963698454044181,0.8286308818171861,0.1032948927693395,0.8213749781659389,North sea,0.03828611993780667,176.71959514741306,0.8953744187655984,0.9091264197431944
GYDA,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.1709002781717435,0.096768245614035,North sea,0.02102253209699518,162.09561654831273,0.8062321882715013,0.0
HEIDRUN,Heidrun,24.4409440894606,0.532004638793878,4.672609842337748,13.350313835250708,0.9073947886247496,0.0667867165407132,0.4786260227272727,Norwegian sea,0.006529364623403866,237.3012753368046,0.638982880570935,0.5858641315340828
HOD,Ekofisk,38.8888505112461,0.207184367217011,1.4241579568643985,4.069022733898282,0.8304533986550995,0.052963506271966,0.0267470229007633,North sea,0.0066330553516023485,398.02148693956127,0.6364054209771224,0.3869225037257824
IVAR AASEN,Grane,27.1149865857435,0.66784513617451,3.6291750160772533,10.36907147450644,0.8920972919763067,0.2192990132208881,0.1671528571428571,North sea,0.02986525337915802,48.223570363921176,0.9096224850201614,0.820689262966333
JOHAN SVERDRUP,Johan Sverdrup,28.6999948032333,0.808983374979588,3.1508625890979305,9.002464540279801,0.8832709400134395,0.0423649690480809,3.01208265625,North sea,0.06547450499943182,84.52569082448925,0.9696314579892139,0.3445143039568664
JOTUN,Jotun,32.0,0.3,2.388924542200969,6.8254986920027685,0.8654434250764526,0.2649045533018312,0.0851387046632124,North sea,0.05756634216260636,22.225134397764013,0.8983513631850807,0.9804652447021468
KNARR,Knarr,26.0,0.65,4.0232125042937765,11.49489286941079,0.8984126984126984,0.3151697246084783,0.1046995774647887,North sea,0.05725032922954977,34.89006497898073,0.8012684162106362,0.9037372593431484
KVITEBJØRN,Gullfaks,39.2636091110806,0.211019881476799,1.3872944589154632,3.963698454044181,0.8286308818171861,0.1200601261221317,0.12571,North sea,0.01276078738537324,294.2152965551922,0.9195756941871265,0.3965425531914894
MARIA,Heidrun,24.4409440894606,0.532004638793878,4.672609842337748,13.350313835250708,0.9073947886247496,0.0835777851121308,0.0752001265822784,Norwegian sea,0.018926598980778583,165.6821682517969,0.17808425862298016,0.083192188901066
MARTIN LINGE,Martin Linge,27.8422641859289,0.21138196382242,3.3988140016610204,9.710897147602916,0.888025538754052,0.2190620898601026,0.0923577272727272,North sea,0.040078724451032124,18.267578355102025,0.8704625866017356,0.7530051187668948
MARULK,Norne,33.9955719154872,0.173762395630177,2.040955403502737,5.831301152864963,0.855007770674729,0.2537307346120431,0.0046205303030303,Norwegian sea,0.014675550021114,195.56092562930112,0.39003557125331645,0.3091787439613526
NJORD,Njord,44.766792129643,0.0643388067225921,0.9608837926792106,2.745382264797745,0.8027603968416679,0.1084547567539416,0.1107324786324786,Norwegian sea,0.005087191975069698,601.5419124509435,0.451275482510916,0.0684600272026598
NORNE,Norne,33.9955719154872,0.173762395630177,2.040955403502737,5.831301152864963,0.855007770674729,0.1652020243712755,0.2712522049689441,Norwegian sea,0.03195172681005022,108.42913567006335,0.963158714651971,0.8706721417765291
OSEBERG,Oseberg,39.9434656421417,0.189810897966947,1.323409459569024,3.781169884482926,0.8253449582928786,0.0888794832598628,0.8722325219298245,North sea,0.008381409708630138,388.5259408028321,0.8834732897482485,0.6322654003076718
OSEBERG SØR,Oseberg,39.9434656421417,0.189810897966947,1.323409459569024,3.781169884482926,0.8253449582928786,0.0690576514124705,0.2073966,North sea,0.00919355288076335,180.26567079324897,0.8242679884977493,0.6007315812492545
OSEBERG ØST,Oseberg,39.9434656421417,0.189810897966947,1.323409459569024,3.781169884482926,0.8253449582928786,0.073079066070367,0.0732291856677524,North sea,0.010033265963082086,51.29191222787846,0.4807356460448562,0.8737415838409748
SKARV,Skarv,50.8043095440118,0.0641524144208956,0.6624839794248463,1.892811369785275,0.7761747396642817,0.1067419872118444,0.1378091666666666,Norwegian sea,0.013898503758852652,246.7426223229117,0.6245802148384698,0.1688588695343049
SKOGUL,Alvheim,34.5440158378669,0.40211278459505,1.9568328188695139,5.590950911055755,0.8521836772375294,0.2474673448173595,0.0178874576271186,North sea,0.03742797597212222,16.396521826127852,0.8987315365983024,0.8552677029360968
