field,exp_qi,exp_Di,exp_b,exp_r2_fit,exp_mae_forecast,exp_mape_forecast,exp_bias_forecast,exp_rmse_forecast,hyp_qi,hyp_Di,hyp_b,hyp_r2_fit,hyp_mae_forecast,hyp_mape_forecast,hyp_bias_forecast,hyp_rmse_forecast,harm_qi,harm_Di,harm_b,harm_r2_fit,harm_mae_forecast,harm_mape_forecast,harm_bias_forecast,harm_rmse_forecast,best_model,best_r2_fit,best_mape,best_rmse,best_bias,best_Di,best_b,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,oil_mean,main_area,D_annual,field_age_mean,grade
HEIDRUN,93.8277503770087,0.007071336769226341,0.0,0.8196676085762467,4.672626972802788,25.439331280991436,-3.7835997216115524,5.416689563735135,93.87522399214424,0.007104198817147662,0.010000000000553701,0.8191095497190701,4.5811826828653786,24.94186186472707,-3.6582089529361923,5.316930590139956,97.99348789367959,0.011337644505965243,1.0,0.7568627728115802,5.753034158171218,33.01647973571081,5.7488161728924245,6.453705205189737,exp,0.8196676085762467,25.439331280991436,5.416689563735135,-3.7835997216115524,0.007071336769226341,0.0,24.4409440894606,0.532004638793878,-64.993677147368,15.7949149993578,0.4786260227272727,Norwegian sea,0.0667867165407132,26.0,Heidrun
HOD,61.08393517606883,0.011581742156396825,0.0,0.7001930498902508,9.472978027231727,60.72251770831453,-9.44324434690404,15.869511923767405,95.55995843597873,0.06192752397922652,1.3285934159781905,0.8442602073670112,10.008159852198391,158.22337733422833,-3.1254013358942747,13.198742284265345,87.25414485556108,0.04036079993517133,1.0,0.8357114792626992,9.348221188397648,117.19192279064627,-4.77309529627354,13.684375438406065,hyp,0.8442602073670112,158.22337733422833,13.198742284265345,-3.1254013358942747,0.06192752397922652,1.3285934159781905,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.0267470229007633,North sea,0.052963506271966,34.24936386768448,Ekofisk
KVITEBJØRN,68.88583519326943,1.0000000000007951e-06,0.0,-1.9996166150226813e-05,39.30759104155252,258.5982667514003,39.28393940213106,43.62922475004202,68.88583518739816,1.0000000000136706e-06,0.010000001406709863,-1.9996158804991282e-05,39.30759104505902,258.59826678444085,39.28393940559299,43.629224755077786,68.88583514073835,1.000000000264762e-06,1.0,-1.9995431920882822e-05,39.307591919799854,258.59827282772613,39.28394028273147,43.62922573476311,harm,-1.9995431920882822e-05,258.59827282772613,43.62922573476311,39.28394028273147,1.000000000264762e-06,1.0,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,0.12571,North sea,0.1200601261221317,21.88412017167382,Gullfaks
NJORD,66.8801763240526,0.012838123415490465,0.0,0.7758538865887197,3.5070598675876155,43.37876999505836,-3.11672659050208,5.404985239280614,99.32874520059518,0.07670928422321532,1.6834925775868408,0.8109529655437117,6.838065395998999,147.32104009407385,5.762232198262868,7.217928459574273,82.21319339596855,0.032298913172187305,1.0,0.8026116351823435,4.563002452143918,90.21807580989915,2.637971699954444,5.086498800856053,hyp,0.8109529655437117,147.32104009407385,7.217928459574273,5.762232198262868,0.07670928422321532,1.6834925775868408,44.766792129643,0.0643388067225921,-72.0951966050406,3.2485766922058,0.1107324786324786,Norwegian sea,0.1084547567539416,23.444444444444443,Njord
NORNE,94.1981164868768,0.016819082395584727,0.0,0.9304356435688022,1.6103430271168615,42.92564908850639,-0.5612669513009363,2.124562567498704,94.3477735538877,0.016950346294145956,0.010000000000000002,0.9302100010984848,1.582541579238127,41.89179507997228,-0.46773014292016946,2.1063717747144244,107.9058564604274,0.037758663970355516,1.0,0.8726580390465772,8.405376057693028,259.7444090063344,8.397646529020047,8.619176750118385,exp,0.9304356435688022,42.92564908850639,2.124562567498704,-0.5612669513009363,0.016819082395584727,0.0,33.9955719154872,0.173762395630177,15.0,8.05150046202256,0.2712522049689441,Norwegian sea,0.1652020243712755,19.87888198757764,Norne
OSEBERG,110.62846228643204,0.012941114216750128,0.0,0.9538749185307674,6.092812948493538,66.39723400181823,-6.028069559409552,6.577011768508962,112.89935033202924,0.014199263370056402,0.10983603428547596,0.9549375440148237,4.981590076580348,54.83850823342276,-4.871486506797769,5.533120021053314,127.27465895307381,0.03005539651353463,1.0,0.9028089798745953,4.341535731748036,65.51903374710835,4.284361372140148,4.972141869066902,hyp,0.9549375440148237,54.83850823342276,5.533120021053314,-4.871486506797769,0.014199263370056402,0.10983603428547596,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,0.8722325219298245,North sea,0.0888794832598628,27.660087719298247,Oseberg
OSEBERG SØR,92.11539352114414,0.008779458650151499,0.0,0.7883225225097115,10.107117767991786,46.721373257382545,-9.483433611747156,11.252358614223292,92.16285913608583,0.008816778263209358,0.010000000001233677,0.7882081223399514,9.99447691867523,46.35996966289612,-9.362578529510374,11.151648065236609,96.47201855798386,0.013548284345082961,1.0,0.7653113670967866,4.594447514859124,35.87829825063193,-0.20726007864369214,6.568770206241907,exp,0.7883225225097115,46.721373257382545,11.252358614223292,-9.483433611747156,0.008779458650151499,0.0,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,0.2073966,North sea,0.0690576514124705,29.166666666666668,Oseberg
OSEBERG ØST,95.27064927766509,0.025808604681105542,0.0,0.9124573974631225,9.104046981599584,92.2169299441398,-9.104046981599584,9.989489457921511,98.99437824655878,0.03046674706072824,0.18211120994797458,0.9157570556159387,8.116325606182016,81.32590253077974,-8.10044374524562,9.066013249114123,114.63733318109325,0.06819880662368043,1.0,0.8674243458164177,3.0840656727034323,29.99961069214664,-2.1512913189407694,4.563159763596467,hyp,0.9157570556159387,81.32590253077974,9.066013249114123,-8.10044374524562,0.03046674706072824,0.18211120994797458,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,0.0732291856677524,North sea,0.073079066070367,31.71986970684039,Oseberg
SNORRE,83.45595189346102,0.009243486080917376,0.0,0.6976425190495017,17.554813186790778,55.72459401010812,-17.377387658570893,19.392609675238187,88.08802054609336,0.013348660431063876,0.6962394065529617,0.7019466699131063,12.361958201970754,41.960194562982586,-11.457452708455204,13.88479218915179,90.17558572618357,0.0158432644392129,1.0,0.7010543938970104,10.76672961162787,38.307601819795366,-9.417854484332596,12.138234628917019,hyp,0.7019466699131063,41.960194562982586,13.88479218915179,-11.457452708455204,0.013348660431063876,0.6962394065529617,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,0.6338891538461539,North sea,0.0367143290649612,30.415384615384617,Statfjord
STATFJORD,100.59425584859193,0.012396813665467184,0.0,0.9737961811384415,0.5960138156044447,27.573822324851587,-0.47031695358674735,0.6824747254695778,100.78643741416471,0.012505864269377935,0.010000000000000044,0.9735079153242372,0.5528390310309194,25.4718525076457,-0.38738372318846337,0.6344605419610588,116.64201058127587,0.030570821934481695,1.0,0.8868996232899817,8.262151709959655,380.75166513351604,8.262151709959655,8.292373807351138,exp,0.9737961811384415,27.573822324851587,0.6824747254695778,-0.47031695358674735,0.012396813665467184,0.0,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,1.0610380847145489,North sea,0.1329891977418907,29.042357274401475,Statfjord
