field,n_fit,n_forecast,total_months_post_peak,exp_qi,exp_Di,exp_b,exp_r2_fit,exp_mae,exp_rmse,exp_bias,exp_mape,exp_cum_err_pct,hyp_qi,hyp_Di,hyp_b,hyp_r2_fit,hyp_mae,hyp_rmse,hyp_bias,hyp_mape,hyp_cum_err_pct,harm_qi,harm_Di,harm_b,harm_r2_fit,harm_mae,harm_rmse,harm_bias,harm_mape,harm_cum_err_pct,best_model,best_r2_fit,best_mape,best_rmse,best_bias,best_cum_err_pct,best_qi,best_Di,best_b,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,oil_mean,main_area,D_annual,field_age_mean,grade
JOTUN,60,132,192,96.18693121860952,0.047225370717892554,0.0,0.944214491350965,2.5139565222030305,2.7835560677433886,2.5139565222030305,82.09593892791327,-73.9762418037295,111.1644148099931,0.08209096653848692,0.5344450830907838,0.9642928880732643,0.663540580500728,0.7528941117562932,-0.6118631675654534,33.66612053573382,18.00482117922734,124.62477769318674,0.1377025024282472,1.0,0.9504202078243816,4.014111036452406,4.037684752449466,-4.014111036452406,178.52072203426113,118.12012102715292,hyp,0.9642928880732643,33.66612053573382,0.7528941117562932,-0.6118631675654534,18.00482117922734,111.1644148099931,0.08209096653848692,0.5344450830907838,32.0,0.3,9.0,16.0,0.0851387046632124,North sea,0.2649045533018312,14.373056994818652,Jotun
KVITEBJØRN,49,177,226,65.85599833904793,1.0000000000005188e-06,0.0,-1.5665960942046198e-05,34.071542285359186,39.192600975318314,-31.748741283573555,254.46488615559116,93.11178880863903,65.85599827316356,1.0000000000551547e-06,0.010000001917152265,-1.5665955684474042e-05,34.07154223854495,39.19260093119544,-31.748741225866976,254.46488587987824,93.11178863939884,65.85599828911784,1.0000000002978754e-06,1.0,-1.566543513487062e-05,34.07154303327435,39.19260185863914,-31.748742050400992,254.46489208260908,93.11179105756834,harm,-1.566543513487062e-05,254.46489208260908,39.19260185863914,-31.748742050400992,93.11179105756834,65.85599828911784,1.0000000002978754e-06,1.0,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,0.12571,North sea,0.1200601261221317,21.88412017167382,Gullfaks
NJORD,60,150,210,70.19975997691357,0.015497168200443836,0.0,0.5068850365517841,5.0000245154635214,6.655150550242341,4.3901774171310395,45.89055039986224,-30.953674139642786,100.68716338113173,0.08922247734562715,1.9999999999999998,0.7214735561643347,7.5183489770641305,8.508392379952323,-5.835940729231502,132.07440136059253,41.14726820059838,82.08676894162693,0.03262909888830307,1.0,0.6153414602562974,4.721863924781977,5.701699884817364,-1.157022433568435,70.19606762163228,8.157778599375625,hyp,0.7214735561643347,132.07440136059253,8.508392379952323,-5.835940729231502,41.14726820059838,100.68716338113173,0.08922247734562715,1.9999999999999998,44.766792129643,0.0643388067225921,-72.0951966050406,3.2485766922058,0.1107324786324786,Norwegian sea,0.1084547567539416,23.444444444444443,Njord
NORNE,60,227,287,93.04469176831768,0.016301664184922522,0.0,0.8378722967594422,2.562902748679115,3.73216954302959,-0.2101451968224893,40.405536570501056,2.3576345726625108,93.2543367949602,0.016585155940170345,0.039803829552426145,0.8378944224790442,2.605880767289725,3.828803143457056,-0.7015064144044082,40.08353371119123,7.870252570851709,98.12602009918035,0.025547339761720158,1.0,0.826258510751368,11.390695452041983,11.975356377608964,-11.13995159643248,289.06306670723654,124.97994443204486,hyp,0.8378944224790442,40.08353371119123,3.828803143457056,-0.7015064144044082,7.870252570851709,93.2543367949602,0.016585155940170345,0.039803829552426145,33.9955719154872,0.173762395630177,15.0,8.05150046202256,0.2712522049689441,Norwegian sea,0.1652020243712755,19.87888198757764,Norne
OSEBERG,60,304,364,108.51104173516714,0.011233711258394207,0.0,0.7990681466404108,4.845591491242442,6.077335102620584,-0.0037040792766095806,37.32727564375186,0.023789744492856802,108.52911670362623,0.01126343849913373,0.010000000000000097,0.7986865052136267,4.803343700403699,6.054500796470909,-0.17817660599676052,36.7174584898294,1.1443534586399666,110.12009065615803,0.014652741177359367,1.0,0.7584120740008871,14.399851869163603,14.863174463855339,-14.399851869163603,128.44592102907959,92.48419677878526,exp,0.7990681466404108,37.32727564375186,6.077335102620584,-0.0037040792766095806,0.023789744492856802,108.51104173516714,0.011233711258394207,0.0,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,0.8722325219298245,North sea,0.0888794832598628,27.660087719298247,Oseberg
OSEBERG SØR,60,213,273,90.43226050770684,0.007966760124563653,0.0,0.5172194807029885,7.438692439666144,9.0038681190213,4.550533438783509,34.7275721314731,-14.47814685556456,90.444425276155,0.007983763891562863,0.01000000000001014,0.5171449864702228,7.343756750538104,8.916304825840399,4.419430579969166,34.45787518298709,-14.061025111788124,91.6137954180991,0.009904662141646045,1.0,0.5081494090183047,6.686858201897853,8.615246444650118,-5.0996504190534475,42.617488363051386,16.225237913829087,exp,0.5172194807029885,34.7275721314731,9.0038681190213,4.550533438783509,-14.47814685556456,90.43226050770684,0.007966760124563653,0.0,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,0.2073966,North sea,0.0690576514124705,29.166666666666668,Oseberg
OSEBERG ØST,60,232,292,97.44780652378242,0.027152473912499777,0.0,0.8632957486889621,7.643908338660241,8.854717384399075,7.101977152830387,77.14143055616792,-70.39570560573154,97.5409800633083,0.027316639149223804,0.010000000000000002,0.8628967054765181,7.593880749583927,8.806832921296234,7.028648299285776,76.64286891476443,-69.66886063348672,106.11994468547852,0.050851791315369696,1.0,0.8052316352142639,4.515335635565965,5.97319658919661,-2.133897220089934,55.49725531829407,21.151462088057162,exp,0.8632957486889621,77.14143055616792,8.854717384399075,7.101977152830387,-70.39570560573154,97.44780652378242,0.027152473912499777,0.0,39.9434656421417,0.189810897966947,-18.0,8.32821784897739,0.0732291856677524,North sea,0.073079066070367,31.71986970684039,Oseberg
SKARV,60,80,140,79.92051876280067,0.019034596123183867,0.0,0.5884754955688176,12.867639965992552,14.745287404516736,12.822862116042566,49.25003822962279,-49.759606111665256,79.97526039887683,0.019126836365440044,0.010000000000007715,0.5884404018730113,12.765008507909574,14.650006585821389,12.717919543654778,48.79772663410032,-49.35237245204193,85.28676633254653,0.03160953640617887,1.0,0.5746028813392583,5.897949461019398,8.434925295554288,4.7112657332319845,19.660378251279155,-18.282246588280408,exp,0.5884754955688176,49.25003822962279,14.745287404516736,12.822862116042566,-49.759606111665256,79.92051876280067,0.019034596123183867,0.0,50.8043095440118,0.0641524144208956,-36.0,1.75244463606187,0.1378091666666666,Norwegian sea,0.1067419872118444,21.59722222222222,Skarv
SNORRE,60,218,278,86.67129726922228,0.01137836448662258,0.0,0.47833272364220325,18.131497998742546,20.401490019015093,17.20578939072989,71.82260768974635,-51.684051157477676,92.48798300265939,0.021000818835995822,1.6339191988643242,0.4973093562559803,7.634234370104278,9.243990847204696,3.055569005180907,48.08212447027306,-9.178549219256372,90.37993031567457,0.016489469628693833,1.0,0.49444113350499785,10.023421751172316,11.81376529324859,7.407651377742239,51.65105698930499,-22.251663325035548,hyp,0.4973093562559803,48.08212447027306,9.243990847204696,3.055569005180907,-9.178549219256372,92.48798300265939,0.021000818835995822,1.6339191988643242,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,0.6338891538461539,North sea,0.0367143290649612,30.415384615384617,Statfjord
STATFJORD,60,349,409,95.79923998061177,0.010169159327939393,0.0,0.7766678240235261,3.552788251498738,4.49893660232611,-3.482340772728914,54.37736340253898,32.581122822856436,95.81580415011732,0.010195008949080077,0.010000000000119396,0.7764223237250334,3.6999672430306796,4.6183273189885465,-3.6356578133468807,58.427194767046565,34.015572136470325,97.37875214330568,0.013176891605483873,1.0,0.7496026576506436,16.19211025853241,16.560597735216472,-16.19211025853241,446.7389510870831,151.49497637506076,exp,0.7766678240235261,54.37736340253898,4.49893660232611,-3.482340772728914,32.581122822856436,95.79923998061177,0.010169159327939393,0.0,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,1.0610380847145489,North sea,0.1329891977418907,29.042357274401475,Statfjord
