field,grade,is_direct_assay,n_months,decline_mean,decline_median,decline_std,decline_p25,decline_p75,oil_mean,gor_mean,water_cut_mean,field_age_mean,first_year,last_year,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,naphtha_pct,middle_distillate_pct,bottom_of_barrel_pct,ccr_pct,vanadium_ppm,nickel_ppm,nitrogen_ppm,viscosity_cst_40c,tan_mgkoh,wax_pct,main_area,discovery_year,D_monthly,D_annual,D_r2,n_post_peak,half_life_months
TAMBAR,Ekofisk,False,273,0.13454941777238122,-0.017183631862530954,0.6970869212497043,-0.1482213438735178,0.1841883936080741,0.03901263736263736,0.0,0.06712973747895852,30.9010989010989,2002,2026,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1983,0.007980961498799575,0.0957715379855949,0.6566212134121845,269.0,86.85008449974384
TORDIS,Statfjord,False,355,0.07834890562235089,-0.01870784630878635,0.5262760404817464,-0.11378680189389861,0.0973202095453182,0.1798660281690141,0.10529337378786627,0.5376708418014481,23.295774647887324,1995,2026,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,24.12567940310276,40.498496911447944,31.680919217903252,1.33838521711888,1.6278343315846,0.98808960819825,757.38921571985,3.09239822880271,0.0459601896971501,7.31704571949302,North sea,1987,0.005309243231259554,0.06371091877511464,0.49991523362223655,277.0,130.5547985593993
TROLL,Troll,True,420,0.03519048639530953,-0.005207359931160466,0.35819502084022853,-0.07676117147585809,0.060391890029940574,0.699843119047619,5.006331413109721,0.5269504697932673,29.159523809523808,1991,2026,38.765436257241,0.130936656687094,-12.0,7.17051168368127,29.08033978396558,39.56219896972246,28.58076133428843,0.780222344017711,0.302020359581978,0.432467729252159,510.437984649045,2.56868800351999,0.409999996423722,4.50042664573574,North sea,1979,0.007189481388064526,0.08627377665677431,0.7956020848192665,271.0,96.41129076579288
ULA,Ekofisk,False,457,0.049748878124207946,-0.015015600624024959,0.4478835536005017,-0.10216346153846145,0.09345709345709347,0.15906398249452955,0.02107071640014208,0.5288202816698565,30.446389496717725,1987,2026,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1976,0.006926564556697249,0.08311877468036699,0.6407524594360539,384.0,100.07084679370323
URD,Norne,False,219,0.08983605678769412,-0.014417300760913064,0.6171657701451881,-0.14376263120550375,0.10537510785608703,0.02758694063926941,0.02982141035682664,0.6734864967464468,16.009132420091323,2006,2026,33.9955719154872,0.173762395630177,15.0,8.05150046202256,10.47441884008746,45.44239814855472,43.15645552032174,1.0125261514852,0.514814556054689,1.4130265807347,300.386894111234,6.64944425362657,0.0900000035762787,8.20119803208561,Norwegian sea,2000,0.006217552285198368,0.07461062742238042,0.41195420707631514,216.0,111.48232435617238
VALEMON,Gullfaks,False,120,0.06376974869132064,-0.03368167413111238,0.5217050875616706,-0.15592482657417286,0.14247593326654184,0.014113666666666667,8.100148183926876,0.33550407470188287,35.608333333333334,2016,2026,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,24.829243951917828,40.578826121203626,30.92540055276025,1.29277263814823,1.36373739122237,1.00202473443379,682.966522336703,2.98525862641834,0.0859949740533258,5.66064980065889,North sea,1985,0.019282021185850644,0.23138425423020773,0.7754450343641474,111.0,35.94784871767407
VALHALL,Ekofisk,False,498,0.05405544550242576,-0.002657996672258356,0.42172076138202524,-0.0719197805989038,0.0670364192997005,0.26587779116465865,0.1836119555799786,0.12197422342790105,29.333333333333332,1983,2026,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1975,0.0031851076832097457,0.03822129219851695,0.6289427097600966,319.0,217.6212704562115
VIGDIS,Statfjord,False,331,0.09626403319214125,-0.007153923266198798,0.5968676996952686,-0.10622812190669582,0.10813166984889444,0.20398951661631418,0.027033718529693378,0.5596821042171701,25.637462235649547,1998,2026,39.2677387701335,0.249441048544377,1.51651262516177,9.47536168226264,24.12567940310276,40.498496911447944,31.680919217903252,1.33838521711888,1.6278343315846,0.98808960819825,757.38921571985,3.09239822880271,0.0459601896971501,7.31704571949302,North sea,1986,0.005327350040559419,0.06392820048671304,0.710545756199285,318.0,130.11106371511465
VILJE,Alvheim,False,195,0.027462740148230247,-0.014152514152514211,0.372021129122458,-0.09210677475559037,0.0656744979609821,0.06342066666666667,0.027013711597523495,0.5508052814146078,14.38974358974359,2009,2026,34.5440158378669,0.40211278459505,-39.0,8.72113464992648,19.39621897341145,44.78554795670213,34.521202266508084,1.122477243191,2.76486143587745,0.804090641358182,747.235115370179,4.31361173727147,0.430000007152557,6.93596804107413,North sea,2003,0.018499233163952678,0.22199079796743215,0.9570875870579398,172.0,37.4689682765122
VISUND,Gullfaks,False,298,0.11201602515597864,-0.028568441305185557,0.6351828248237,-0.14751948815157956,0.1326678873346282,0.1273881879194631,2.623537110462536,0.38928803918737676,26.90268456375839,2000,2026,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,24.829243951917828,40.578826121203626,30.92540055276025,1.29277263814823,1.36373739122237,1.00202473443379,682.966522336703,2.98525862641834,0.0859949740533258,5.66064980065889,North sea,1986,0.004026474631929392,0.0483176955831527,0.21484762507084743,283.0,172.14741030860674
