year,hub_low_p50_kboed,hub_base_p10_kboed,hub_base_p50_kboed,hub_base_p90_kboed,hub_high_p50_kboed,agg_p10_kboed,agg_p50_kboed,agg_p90_kboed
2028.1666666666667,96.27290592286315,68.05962264248623,90.74308891687006,117.83289301203331,78.68639414563353,112.72528114863566,134.7670748213674,154.31105172878773
2028.25,101.21890624469715,75.43580706229032,99.16296131257268,126.74753070163781,87.43235041341453,117.90221462362928,140.69023638732796,161.6352097720693
2028.3333333333333,105.15197630991196,82.45877295608827,106.81167134878577,134.51069709653592,96.30887151974326,122.54208365527342,147.16999598244342,170.79533740871827
2028.4166666666667,109.0663595270364,89.44407024455658,113.65915723464113,140.72679380979068,105.2019127869446,127.2972842664623,154.18195137359717,179.68650615753722
2028.5,111.97811892100117,96.30990038684094,119.99916340825686,146.50762262131104,113.78267267702506,132.42482368084552,161.18222408896358,187.947161523412
2028.5833333333333,114.16112249091411,102.15661716947784,125.61077358896443,150.7383549676057,122.09328790202626,137.01227183825074,167.32531970174045,193.7666704442473
2028.6666666666667,116.40902237969446,106.77585556892484,130.42845878517423,155.30334329670583,130.12832682538723,142.11607852921875,171.5831757524926,197.70076769992647
2028.75,117.54820342710934,110.8865745835614,134.54504384410902,159.98618843597487,137.4459688835496,145.91625844968783,173.97713457144238,200.28178553229293
2028.8333333333333,118.08483971671899,114.90925562623379,138.0832739771515,162.80772184338593,143.8666686189567,148.57552937546453,175.26230012038633,202.4830340227974
2028.9166666666667,118.4191962693562,117.89404921088226,140.85459020888894,164.5990198750808,149.52009616964062,150.04508302832383,175.4277622050801,202.27544615434724
2029.0,118.58496767664074,121.23476184203426,143.56180907732113,166.28993147476766,155.07406502730908,153.44090661495682,178.41353261374388,205.19267216232427
2029.0833333333333,118.67093240807053,123.61283971598104,146.06225871273895,167.530959133204,159.45987705790517,155.37784559079847,180.89008953840255,209.11933973742526
2029.1666666666667,118.70191063808322,126.62229063389603,147.56332882070552,169.47622299712955,164.23134023836613,157.9949937540014,185.628742344058,219.9535648485795
2029.25,118.72422627322315,128.03350298559562,149.3663819107849,170.85490439524324,168.1830727644157,161.88947754438303,194.41304812720864,236.44851474793307
2029.3333333333333,118.72422627322315,129.20923545779286,150.29736221755235,171.14962499426707,171.85441658673267,167.20044703254058,204.97904672207193,249.39558589379905
2029.4166666666667,118.65406560769839,130.03494056210567,150.5499973686567,172.14947533181785,174.93583010852777,173.8863132619192,214.0798742049648,257.41414091661136
2029.5,118.49407054828359,130.862531162959,150.97464603054436,172.5944925372835,177.74946293924413,181.13856011067503,219.23395495523403,260.25836881182744
2029.5833333333333,117.71969860326767,130.9928253562043,151.1297500466442,172.81691035954867,180.26655021740584,186.20503399767028,221.32632915840497,260.15009564920103
2029.6666666666667,116.99113853799408,131.29354765619016,151.23341945025953,172.88594562299943,181.7408953006727,189.372950690618,220.8982474110429,258.36866618826616
2029.75,115.52763587144797,131.57026738258165,151.2069862447927,172.88594562299943,183.83205228767366,190.03725865942133,218.86198459873992,255.2963668372432
2029.8333333333333,113.41130828983492,131.6072371565207,151.27658107565878,172.88594562299943,184.7819370129445,189.20621208839944,216.0852893197663,251.56219321530799
2029.9166666666667,110.76942707803643,131.65910130127824,151.35025590215542,172.88594562299943,186.37795874231128,186.94297838931996,212.49162579716494,247.4799628529662
2030.0,107.94321254722927,131.6072371565207,151.10899837384216,172.60678089563274,187.61222888675678,183.99026166269775,208.42793111165153,243.10980098303617
2030.0833333333333,104.72012293361361,131.38926014220235,150.8864808118082,172.14644225049642,187.83752610680244,180.94230028209114,204.3499466377927,238.56570878241848
2030.1666666666667,101.7431747459456,130.85663348724736,150.51934451893436,171.03714140351823,188.73257516961166,177.51610126765567,200.19490260288075,233.89422380018942
2030.25,98.71476581904722,129.92620492344687,149.9207400806977,170.9618166219484,188.95813743685633,174.02116301947976,195.96320825006543,229.0162515426345
2030.3333333333333,95.64738972185698,128.60240431823675,148.68824260331542,170.0821002799005,188.95813743685633,170.1409901474049,191.60924721977324,224.04601095435845
